VENDEDOR,CLIENTE,PRODUTO,QUANTIDADE,UNIDADE_MEDIDA_NF,PREÇO_NF,DATA_NF,CRP_AJUSTADO,VLR_PRECO_LISTA,VLR_CONTRIBUICAO
389,2345,411,1753,KGS,"32,448",6/21/2009,"20,00","40,60",  21.830 
371,12801,194,1753,KGS,"5,746",7/27/2009,"4,28","7,84",  2.566 
389,2345,411,1753,KGS,"32,409",6/6/2009,"19,96","40,55",  21.819 
328,35157,41,4383,KGS,"8,45",2/27/2009,"5,33","12,81",  13.683 
47,30521,75,5259,KGS,"2,405",1/20/2009,"1,70","2,93",  3.683 
47,30521,75,5259,KGS,"2,379",1/27/2009,"1,68","2,89",  3.676 
425,4484,1596,4821,KGS,"6,032",8/16/2010,"3,85","6,39",  10.500 
443,4484,1596,4821,KGS,"5,902",9/12/2010,"3,77","7,25",  10.270 
401,23527,1173,350,KGS,"87,607",1/22/2010,"55,58","126,97",  11.209 
401,24596,1476,2279,KGS,"32,136",8/8/2009,"19,52","37,55",  28.757 
371,12801,194,1534,KGS,"5,785",9/5/2009,"4,32","7,88",  2.255 
328,35157,41,3681,KGS,"8,931",3/20/2009,"5,63","13,56",  12.140 
371,33461,184,2366,KGS,"12,675",6/12/2009,"8,05","15,49",  10.952 
401,24580,411,8766,KGS,"30,251",1/9/2010,"17,95","38,61",  107.805 
401,24596,1476,2279,KGS,"31,967",8/13/2009,"19,41","37,35",  28.616 
425,4484,1596,4821,KGS,"5,772",7/3/2010,"3,68","6,12",  10.080 
318,23353,425,2805,KGS,"9,737",3/26/2010,"6,22","13,17",  9.872 
425,4484,1596,4821,KGS,"5,733",7/24/2010,"3,66","6,08",  10.011 
371,30510,194,3506,KGS,"5,174",5/22/2010,"3,43","6,75",  6.100 
389,32962,1145,832,KGS,"11,609",6/21/2009,"8,45","14,33",  2.629 
389,22534,37,4281,KGS,"7,943",29/02/2009,"4,98","9,42",  12.675 
431,25174,192,876,KGS,"11,31",8/22/2010,"8,16","14,49",  2.758 
389,32962,1266,350,KGS,"29,978",6/5/2009,"21,37","39,84",  3.013 
